material_id,cif,formula,avg_volume
6334,"# generated using pymatgen
data_TlCoN2O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.24596403
_cell_length_b   4.24596403
_cell_length_c   4.24596403
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TlCoN2O
_chemical_formula_sum   'Tl1 Co1 N2 O1'
_cell_volume   76.54713370
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Co  Co0  1  0.00265771  0.00000000  0.00000000  1
  Tl  Tl1  1  0.50015703  0.50000000  0.50000000  1
  N  N2  1  0.50108143  0.00000000  0.50000000  1
  N  N3  1  0.50108143  0.50000000  0.00000000  1
  O  O4  1  0.00050506  0.50000000  0.50000000  1
",CoTlON2,15.309426699063863
17313,"# generated using pymatgen
data_CrTeN3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.96984308
_cell_length_b   3.96984308
_cell_length_c   3.96984308
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CrTeN3
_chemical_formula_sum   'Cr1 Te1 N3'
_cell_volume   62.56335384
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.00000000  0.00000000  0.00000000  1
  Te  Te1  1  0.50000000  0.50000000  0.50000000  1
  N  N2  1  0.50000000  0.00000000  0.50000000  1
  N  N3  1  0.50000000  0.50000000  0.00000000  1
  N  N4  1  0.00000000  0.50000000  0.50000000  1
",CrTeN3,12.512670738396524
6840,"# generated using pymatgen
data_SbTeN2O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.17754370
_cell_length_b   4.17754370
_cell_length_c   4.17754370
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SbTeN2O
_chemical_formula_sum   'Sb1 Te1 N2 O1'
_cell_volume   72.90595517
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sb  Sb0  1  0.14773499  -0.00000000  0.00000000  1
  Te  Te1  1  0.52201352  0.50000000  0.50000000  1
  N  N2  1  0.41233795  -0.00000000  0.50000000  1
  N  N3  1  0.41233795  0.50000000  0.00000000  1
  O  O4  1  -0.01746736  0.50000000  0.50000000  1
",SbTeON2,14.581191055155532
11379,"# generated using pymatgen
data_NiPtO2F
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.85884379
_cell_length_b   3.85884379
_cell_length_c   3.85884379
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NiPtO2F
_chemical_formula_sum   'Ni1 Pt1 O2 F1'
_cell_volume   57.46079011
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pt  Pt0  1  0.00090834  0.00000000  0.00000000  1
  Ni  Ni1  1  0.50732448  0.50000000  0.50000000  1
  F  F2  1  0.50009354  0.00000000  0.50000000  1
  O  O3  1  0.49957181  0.50000000  0.00000000  1
  O  O4  1  0.00448931  0.50000000  0.50000000  1
",PtNiO2F,11.492158055860013
16590,"# generated using pymatgen
data_YGeN3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.86083936
_cell_length_b   3.86083936
_cell_length_c   3.86083936
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YGeN3
_chemical_formula_sum   'Y1 Ge1 N3'
_cell_volume   57.54998268
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  0.00000000  0.00000000  0.00000000  1
  Ge  Ge1  1  0.50000000  0.50000000  0.50000000  1
  N  N2  1  0.50000000  0.00000000  0.50000000  1
  N  N3  1  0.50000000  0.50000000  0.00000000  1
  N  N4  1  0.00000000  0.50000000  0.50000000  1
",YGeN3,11.509996508752256
9386,"# generated using pymatgen
data_ReRhSO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.14192643
_cell_length_b   4.14192643
_cell_length_c   4.14192643
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ReRhSO2
_chemical_formula_sum   'Re1 Rh1 S1 O2'
_cell_volume   71.05704474
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Rh  Rh0  1  0.03050407  0.00000000  0.00000000  1
  Re  Re1  1  0.55845043  0.50000000  0.50000000  1
  S  S2  1  0.32018188  0.00000000  0.50000000  1
  O  O3  1  0.60409804  0.50000000  0.00000000  1
  O  O4  1  -0.01314302  0.50000000  0.50000000  1
",RhReO2S,14.211408963659887
18331,"# generated using pymatgen
data_BaBiN3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.54173211
_cell_length_b   4.54173211
_cell_length_c   4.54173211
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BaBiN3
_chemical_formula_sum   'Ba1 Bi1 N3'
_cell_volume   93.68380947
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Bi  Bi0  1  0.00135646  0.00000000  -0.00000000  1
  Ba  Ba1  1  0.50129553  0.50000000  0.50000000  1
  N  N2  1  0.50114834  0.00000000  0.50000000  1
  N  N3  1  0.50114834  0.50000000  0.00000000  1
  N  N4  1  0.00110768  0.50000000  0.50000000  1
",BiBaN3,18.736761908683498
2257,"# generated using pymatgen
data_TlCuNO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.26986955
_cell_length_b   4.26986955
_cell_length_c   4.26986955
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TlCuNO2
_chemical_formula_sum   'Tl1 Cu1 N1 O2'
_cell_volume   77.84734766
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.00021639  0.00000000  0.00000000  1
  Tl  Tl1  1  0.50516791  0.50000000  0.50000000  1
  N  N2  1  0.49983471  0.00000000  0.50000000  1
  O  O3  1  0.49987032  0.50000000  0.00000000  1
  O  O4  1  0.00484992  0.50000000  0.50000000  1
",CuTlO2N,15.56946955451463
17085,"# generated using pymatgen
data_MgRhN3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.99299752
_cell_length_b   3.99299752
_cell_length_c   3.99299752
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgRhN3
_chemical_formula_sum   'Mg1 Rh1 N3'
_cell_volume   63.66446905
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.20863977  0.00000000  0.00000000  1
  Rh  Rh1  1  0.55125767  0.50000000  0.50000000  1
  N  N2  1  0.37464536  -0.00000000  0.50000000  1
  N  N3  1  0.37464536  0.50000000  0.00000000  1
  N  N4  1  -0.00725500  0.50000000  0.50000000  1
",MgRhN3,12.732893806669821
4760,"# generated using pymatgen
data_CoReNOF
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.96039933
_cell_length_b   3.96039933
_cell_length_c   3.96039933
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CoReNOF
_chemical_formula_sum   'Co1 Re1 N1 O1 F1'
_cell_volume   62.11792418
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Co  Co0  1  0.00007156  0.00000000  0.00000000  1
  Re  Re1  1  0.50407812  0.50000000  0.50000000  1
  F  F2  1  0.49997683  0.00000000  0.50000000  1
  N  N3  1  0.50162941  0.50000000  0.00000000  1
  O  O4  1  0.00450610  0.50000000  0.50000000  1
",CoReOFN,12.423584858897065
